KPI,Unit,Min,Max
flng_368a,flng_368,Mb/s,0,
flng_369a,flng_369,Mb/s,0,
flng_370a,flng_370,Mb/s,0,
flng_371a,flng_371,Mb/s,0,
flng_372a,flng_372,#,0,
flng_373a,flng_373,%,0,100
flng_374a,flng_374,#,0,
flng_375a,flng_375,%,0,100
flng_376a,flng_376,#,0,
flng_377a,flng_377,%,0,100
flng_378a,flng_378,#,0,
flng_379a,flng_379,%,0,100
flng_380a,flng_380,#,0,
flng_381a,flng_381,%,0,100
flng_382a,flng_382,#,0,
flng_383a,flng_383,%,0,100
flng_384a,flng_384,#,0,
flng_385a,flng_385,%,0,100
flng_386a,flng_386,#,0,
flng_387a,flng_387,%,0,100
flng_388a,flng_388,%,0,100
flng_388b,flng_388,%,0,100
flng_389a,flng_389,%,0,100
flng_389b,flng_389,%,0,100
flng_390a,flng_390,%,0,100
flng_391a,flng_391,%,0,100
flng_392a,flng_392,%,0,100
flng_392b,flng_392,%,0,100
flng_392c,flng_392,%,0,100
flng_393a,flng_393,%,0,100
flng_393b,flng_393,%,0,100
flng_393c,flng_393,%,0,100
flng_394a,flng_394,%,0,100
flng_394b,flng_394,%,0,100
flng_395a,flng_395,%,0,100
flng_395b,flng_395,%,0,100
flng_396a,flng_396,%,0,100
flng_396b,flng_396,%,0,100
flng_397a,flng_397,%,0,100
flng_397b,flng_397,%,0,100
flng_398a,flng_398,%,0,100
flng_398b,flng_398,%,0,100
flng_398c,flng_398,%,0,100
flng_399a,flng_399,%,0,100
flng_399b,flng_399,%,0,100
flng_399c,flng_399,%,0,100
flng_400a,flng_400,#,0,
flng_401a,flng_401,%,0,100
flng_402a,flng_402,%,0,100
flng_403a,flng_403,#,0,
flng_404a,flng_404,%,0,100
flng_405a,flng_405,#,0,
flng_406a,flng_406,%,0,100
flng_407a,flng_407,#,0,
flng_408a,flng_408,%,0,100
flng_409a,flng_409,#,0,
flng_410a,flng_410,%,0,100
flng_411a,flng_411,MB,0,
flng_412a,flng_412,MB,0,
flng_413a,flng_413,MB,0,
flng_414a,flng_414,#,0,
flng_415a,flng_415,#,0,
flng_416a,flng_416,#,0,
flng_417a,flng_417,MB,0,
flng_418a,flng_418,MB,0,
flng_419a,flng_419,MB,0,
flng_420a,flng_420,Mb/s,0,
flng_421a,flng_421,Mb/s,0,
flng_422a,flng_422,#,0,
flng_423a,flng_423,Mb/s,0,
flng_424a,flng_424,#,0,
flng_425a,flng_425,#,0,
flng_426a,flng_426,#,0,
flng_427a,flng_427,s,0,
flng_427b,flng_427,s,0,
flng_428a,flng_428,kB,0,
flng_429a,flng_429,#,0,
flng_430a,flng_430,%,0,100
flng_431a,flng_431,%,0,100
flng_432a,flng_432,#,0,
flng_433a,flng_433,#,0,
flng_434a,flng_434,#,0,
flng_435a,flng_435,#,0,
flng_436a,flng_436,#,0,
flng_437a,flng_437,#,0,
flng_438a,flng_438,%,0,100
flng_439a,flng_439,%,0,100
flng_440a,flng_440,%,0,100
flng_441a,flng_441,%,0,100
flng_442a,flng_442,#,0,
flng_443a,flng_443,#,0,
flng_444a,flng_444,MB,0,
flng_445a,flng_445,MB,0,
flng_446a,flng_446,MB,0,
flng_447a,flng_447,MB,0,
flng_448a,flng_448,MB,0,
flng_449a,flng_449,MB,0,
flng_450a,flng_450,%,0,100
flng_451a,flng_451,%,0,100
flng_452a,flng_452,#,0,
flng_453a,flng_453,%,0,100
